Centroide-Centroide;Paquetá;Freguesia (Ilha);Bancários;Galeão;Tauá;Portuguesa;Moneró;Vigário Geral;Cocotá;Jardim América;Jardim Carioca;Pavuna;Cordovil;Jardim Guanabara;Parada de Lucas;Parque Colúmbia;Praia da Bandeira;Penha Circular;Cacuia;Irajá;Anchieta;Acari;Pitangueiras;Costa Barros;Brás de Pina;Penha;Zumbi;Ribeira;Coelho Neto;Guadalupe;Parque Anchieta;Barros Filho;Vista Alegre;Ricardo de Albuquerque;Colégio;Honório Gurgel;Olaria;Vila da Penha;Maré;Vila Militar;Cidade Universitária;Rocha Miranda;Ramos;Realengo;Vila Kosmos;Marechal Hermes;Vicente de Carvalho;Paciência;Engenho da Rainha;Complexo do Alemão;Vaz Lobo;Padre Miguel;Bento Ribeiro;Turiaçú;Bonsucesso;Inhaúma;Tomás Coelho;Santíssimo;Madureira;Osvaldo Cruz;Santa Cruz;Magalhães Bastos;Senador Camará;Cavalcanti;Campo dos Afonsos;Higienópolis;Manguinhos;Engenheiro Leal;Pilares;Del Castilho;Piedade;Cascadura;Vila Valqueire;Maria da Graça;Quintino Bocaiúva;Jardim Sulacap;Campinho;Abolição;Senador Vasconcelos;Cosmos;Jacarezinho;Cachambi;Praça Seca;Benfica;Engenho de Dentro;São Cristóvão;Vasco da Gama;Inhoaíba;Todos os Santos;Jacaré;Encantado;Rocha;Méier;Gamboa;Santo Cristo;Centro;Sampaio;Riachuelo;Saúde;São Francisco Xavier;Engenho Novo;Mangueira;Tanque;Taquara;Água Santa;Lins de Vasconcelos;Freguesia (Jacarepaguá);Cidade Nova;Praça da Bandeira;Vila Isabel;Maracanã;Glória;Rio Comprido;Santa Teresa;Estácio;Tijuca;Catumbi;Grajaú;Pechincha;Andaraí;Catete;Flamengo;Laranjeiras;Guaratiba;Vargem Grande;Alto da Boa Vista;Cosme Velho;Curicica;Botafogo;Urca;Cidade de Deus;Sepetiba;Anil;Jacarepaguá;Camorim;Humaitá;Gardênia Azul;Jardim Botânico;Vargem Pequena;Copacabana;Leme;Lagoa;Itanhangá;Gávea;Barra da Tijuca;Leblon;c(-43.2031639, -22.9841183);São Conrado;Rocinha;Pedra de Guaratiba;Recreio dos Bandeirantes;Vidigal;Joá;Barra de Guaratiba;Grumari;Caju;Deodoro;Lapa;Campo Grande;Bangu;Gericinó;Jabour;Vila Kennedy;Ilha de Guaratiba
Santa Teresa;34518;24376;21834;20959;21038;18923;20590;21717;22066;23077;20248;27031;19452;19720;24652;25891;22346;18221;21896;21189;32068;24262;21977;28276;19793;17417;22446;23574;28104;28157;34002;27032;22056;32078;21664;24830;15447;19871;12090;32030;12047;22808;15206;32338;19945;25723;21036;58565;16862;14876;22108;35187;23850;23636;12077;14566;17500;46503;24182;23186;63826;34042;43850;18756;30122;12524;11641;20747;16333;14653;15064;21727;26199;11712;16346;32192;22558;18147;49054;58714;10824;11446;25042;9792;13155;6258;7619;57966;12511;9544;14020;8443;11305;7720;5716;5585;8889;8455;7723;7021;10427;7530;27171;29257;26893;12134;23957;3979;4828;7843;5382;10439;3675;0;3681;7608;4437;10578;24592;9243;3956;5211;2462;61190;46186;16194;3789;31196;5568;8502;27330;71526;28330;30183;36895;8776;28378;9716;41012;8738;8658;8316;23284;11222;27302;11104;11989;14561;14764;56637;38718;14239;17931;51481;46295;8172;29432;5020;52866;40304;40600;42820;41870;49952
Estácio;32603;22461;19918;19044;19122;17008;18674;19802;20152;21162;18333;25116;17537;17805;22737;23976;20431;16306;19982;19274;30153;22347;20062;26360;17878;15502;20531;21659;26189;26242;32088;25117;20141;30163;19749;22916;13532;17956;10176;30114;10132;20894;13291;30423;18030;23808;19120;56650;14947;12961;20193;33272;21934;21721;10162;12651;15585;44588;22267;21271;61911;32127;41934;16841;28207;10610;9726;18832;14418;12738;13430;19812;24284;10078;18549;30277;20643;16232;47140;56799;9190;9812;23127;7877;11521;4624;5985;56051;10877;7910;12386;6809;9671;5633;3629;3489;7255;6821;5636;5387;8793;5896;25256;27342;24978;10500;22042;1323;2913;6209;3748;8343;2771;3724;0;5966;1772;8944;22677;7609;5192;7789;4544;59275;44271;14552;5938;29281;6518;9452;25415;69611;26415;28268;34980;7868;26463;8812;39097;9689;9608;7412;22380;10318;26398;10200;11085;13657;13860;55733;37814;13335;17027;50577;45391;6257;27517;2924;50951;38389;38685;40905;39955;49048
Tijuca;35734;25592;23049;22175;22253;20139;21806;21920;23282;23281;21464;21827;19655;20936;20435;21857;23562;18425;23112;17418;26963;20835;23193;23072;17734;16155;23662;24790;22993;23051;28897;21921;18200;26973;17893;21059;14185;16100;12294;26924;13263;19037;13967;26595;16174;19981;17264;53460;13090;12484;18337;29445;18107;17894;10555;11103;13728;41398;18440;17444;58720;24929;33697;14985;24380;10323;9588;17292;12878;10525;12241;15280;20457;8645;13524;28737;16816;14692;37492;53609;7757;8476;19300;7738;10333;5816;7177;52861;9689;7358;11198;6702;8482;10032;7965;9061;5919;6714;10034;5280;6520;7088;23717;25803;23438;9312;20503;6383;7087;3954;3930;13660;6430;6913;6010;0;7089;5869;21138;2282;10509;13106;9861;56085;42731;9815;11255;27741;11836;14769;23875;66420;24875;26728;33440;11531;24924;12472;37558;13429;14925;11071;13760;13977;22450;13860;14744;17317;17519;51785;33866;16994;17799;46629;41443;10431;24326;8242;47761;35199;35494;32668;36765;45100
Catumbi;33862;23719;21177;20303;20381;18266;19933;21060;21410;22421;19592;26374;18795;19063;23995;25234;21689;17565;21240;20532;31412;23605;21321;27619;19136;16761;21790;22917;27448;27500;33346;26376;21400;31422;21008;24174;14791;19214;11434;31373;11390;22152;14550;31681;19288;25067;20379;57909;16205;14220;21452;34530;23193;22979;11421;13910;16843;45847;23525;22530;63169;33385;43193;18100;29465;11868;10985;20090;15677;13996;15069;21071;25542;11717;19807;31535;21901;17490;48398;58058;10829;11451;24386;9135;13160;5836;7196;57310;12516;9549;18083;8448;11310;5260;3256;3116;8894;8460;5263;7026;10432;7536;26515;28601;26236;12139;23301;2054;3998;7849;5387;7970;5023;2956;1718;7516;0;9870;23936;8534;4819;7416;4171;60534;45530;16102;5565;30539;6146;9079;26673;70869;27673;29526;36238;7495;27722;11064;40356;9316;9235;9664;20048;12569;31671;12452;13166;15909;16112;61193;43274;15586;19279;56038;50851;7516;28776;2552;52210;39648;39943;42164;41214;54509
Grajaú;37745;27603;25061;24187;24265;22150;23817;20000;25294;21856;23475;20910;18288;22947;19518;20940;25573;16775;25124;16501;26046;19918;25205;22154;16816;15238;25673;26801;22076;22134;22600;21004;17283;20676;16976;18122;13268;15182;14016;20850;15932;18120;13050;23748;15257;17134;16347;47386;12173;11567;15044;26598;15260;15047;12348;10186;12811;35324;15593;14597;52646;22082;30850;14068;21533;9406;9833;12733;8800;9608;9394;12433;17610;7728;10677;23143;13969;9679;34645;47535;6840;6519;16453;7984;7486;7828;9188;46787;6842;6441;8351;6948;5636;12043;9977;11072;5002;5757;12046;5526;3673;9100;18123;20209;17844;6465;14909;8394;9099;3757;6071;16780;8899;9382;8479;4005;9558;0;15544;2254;12978;15942;12697;45905;37138;13234;14091;22147;14672;17605;18281;60346;19281;21135;27847;15183;19330;16123;31964;17081;17761;14723;17179;17629;23279;17512;18396;20969;21171;52801;34883;20646;24338;47646;42460;12443;19713;10710;41687;29125;29420;29821;30691;46117
Pechincha;40951;30809;28266;27392;27470;25356;27023;22507;28500;24362;26681;16849;20794;26153;18927;16879;28779;19282;28330;12618;17151;15857;28410;16488;19323;17744;28879;30007;15686;15888;16462;14756;13921;14538;12915;12983;15774;13298;16112;14773;18028;12614;15556;14036;12984;11437;12164;38981;14360;14074;9905;16886;9071;9908;14444;12373;12523;26919;10454;9164;44242;12853;21138;13779;13610;13285;15349;9100;10330;11280;10243;8000;7660;12705;11576;7756;6336;9512;24933;39130;14153;11205;5152;15248;7517;19355;18620;38382;9974;14653;8375;14055;10297;22427;21036;23844;12937;13692;22429;17251;12574;17246;2736;4822;4888;9880;2216;21530;21747;15569;16982;30404;23504;24457;22227;17064;23105;15351;0;16264;26442;30579;25849;38910;22688;19655;27243;6761;27823;30757;2802;46636;4574;5748;11962;28590;4880;29531;17514;30488;30913;28130;11750;25171;8829;25716;31803;21721;22920;38352;20433;24714;19895;33196;28010;21020;13576;24081;33282;20720;21016;20108;22286;31667
Andaraí;36522;26380;23837;22963;23041;20927;22593;19550;24070;22533;22252;20459;18908;21723;19067;20490;24350;16325;23900;16050;25595;19468;23981;21704;16366;14787;24450;25578;21625;21684;23145;20553;16832;21220;16525;19692;12817;14732;11546;21394;14051;17670;12600;24293;14806;17679;15896;47930;11723;11117;15589;27142;15805;15591;9807;9736;12361;35868;16137;15142;53191;22627;31394;13617;22077;8955;8840;13278;11511;9158;9939;12977;18154;7277;11221;23688;14513;10224;35190;48079;6389;7108;16998;6990;8030;6604;7964;47331;7386;5990;8896;5954;6180;10819;8753;9849;4551;5306;10822;4532;4218;7876;18668;20753;18389;7009;15454;7171;7875;3307;4848;14641;7411;7894;6991;2231;8070;2231;16088;0;11490;14087;10842;46449;37682;11460;12236;22692;12817;15750;18826;60891;19826;21679;28391;12512;19874;13453;32508;14410;15906;12052;15405;14958;23824;14841;15725;18298;18500;53346;35427;17975;21668;48190;43004;11219;22959;9223;42231;29669;29965;30365;31235;46661
Catete;36851;26709;24166;23292;23370;21256;22922;24050;24399;25410;22581;29364;21785;22053;26984;28224;24679;20554;24230;23522;34401;26595;24310;30608;22126;19750;24779;25907;30437;30490;36336;29365;24389;34411;23997;27163;17780;22204;14424;34362;14380;25142;17539;34670;22278;28056;23368;60898;19195;17209;24441;37520;26182;25969;14410;16899;19833;48836;26515;25519;66159;36375;46182;21089;32455;14857;13974;23080;18666;16986;21651;24060;28532;14896;22797;34525;24891;20480;51387;61047;14008;14630;27375;12125;21674;8700;10060;60299;15695;12728;21072;11627;14489;7287;6245;4384;12074;11639;6290;10205;13611;10715;29504;31590;29226;15318;26290;5085;6863;11028;8566;6388;8054;4586;6281;10548;4955;13762;26925;12427;0;2686;2320;56207;48519;19134;3714;33529;4287;6645;29663;73859;30663;32516;39228;5637;30711;8728;43345;6882;6801;7404;22296;10234;26315;10116;10732;13574;13776;55649;37730;13251;16944;50494;45307;10505;31765;3126;55199;42637;42933;45153;44203;48964
Flamengo;38754;28611;26069;25195;25273;23158;24825;25952;26302;27313;24484;31266;23687;23955;28887;30126;26582;22457;26132;25425;36304;28497;26213;32511;24028;21653;26682;27809;32340;32392;38238;31268;26292;36314;25900;29066;19683;24106;16326;36265;16282;27044;19442;36573;24180;29959;25271;62801;21097;19112;26344;39422;28085;27871;16313;18802;21735;50739;28417;27422;68061;38277;48085;22992;34357;16760;15877;24982;20569;18888;18237;25963;30434;14885;19519;36427;26793;22382;53290;62950;13997;14620;29278;14027;16328;8689;10050;62202;15684;12718;17194;11616;14478;6925;6616;4256;12063;11628;5928;10194;13600;10704;31407;33493;31128;15307;28193;5432;6852;11017;8555;5714;8401;5803;6627;10894;5958;13752;28828;12416;3479;0;5001;65426;50422;19480;6395;35431;7147;8979;31565;75761;32565;34418;41131;8496;32614;11700;45248;9215;9135;10375;25268;13205;29286;15105;13065;16545;16747;58620;40702;17003;19915;53465;48278;12408;33668;2999;57102;44540;44835;47056;46106;51936
Laranjeiras;36318;26176;23633;22759;22837;20723;22389;23516;23866;24877;22048;28831;21252;21519;26451;27690;24146;20021;23696;22989;33868;26061;23777;30075;21593;19217;24246;25374;29904;29956;35802;28832;23856;33878;23464;26630;17247;21671;13890;33829;13847;24608;17006;34137;21745;27523;22835;60365;18662;16676;23908;36987;25649;25436;13877;16366;19300;48303;25982;24986;65625;35841;45649;20556;31922;14324;13441;22547;18133;16452;21118;23527;27999;14363;22264;33992;24358;19946;50854;60514;13475;14097;26842;11592;21140;8167;9527;59766;15162;12195;20539;11094;13956;7717;5712;5570;11540;11106;7719;9672;13078;10181;28971;31057;28693;14785;25757;4552;6330;10494;8033;7238;8720;2646;5748;10015;4422;13229;26392;11894;2555;2782;0;54814;43638;18601;1774;32996;3140;6073;29130;62541;30130;31983;38695;4490;30178;7335;39087;6310;6229;5935;20903;8841;24922;8724;9608;12181;12383;54256;36337;11858;15550;49101;43914;9972;31232;5006;54666;42104;42400;44620;43670;47572
Guaratiba;71999;61857;59315;58441;58519;56404;58071;43042;59548;41535;57730;37940;42317;57201;40921;39243;59827;43771;59378;38935;34573;38221;59459;36348;43220;45015;59927;61055;35543;35747;34701;34615;40064;32776;38448;35841;46596;41336;52734;29734;51782;37922;49427;22724;41850;35283;41030;18802;43728;48890;36326;20582;34926;38125;50479;45609;42347;15316;39017;36284;11770;24841;18705;36888;31019;47866;51818;35521;44172;46216;37223;34420;29858;47641;35455;30619;33567;37270;11595;14469;49089;40719;33056;50183;39209;55810;55076;11088;39868;43333;38306;43949;41178;58882;57492;60300;42830;43586;58885;55459;42467;55453;34224;32738;43481;41766;37329;57986;58203;45463;46876;59745;55521;57646;58683;46957;59561;46231;35260;46158;57791;56917;55959;0;25245;50122;54663;33303;53770;57977;35448;12935;39404;34554;31098;52849;37325;51063;26742;53327;55408;52670;43569;47989;33689;48534;50918;44539;45738;9845;20769;47531;42713;19220;23056;57476;33331;60536;11887;20917;24020;16143;20675;13028
Vargem Grande;64161;54018;51476;50602;50680;48566;50232;41969;51709;40462;49891;36867;41244;49362;39848;38170;51989;35475;51539;31248;33500;37148;51620;35275;34292;40953;52089;53216;34470;34674;33628;33542;32550;31703;31545;34768;38983;31928;39322;28661;41237;31243;38766;27920;31613;31887;30793;36554;37569;37283;28535;30770;29520;28538;37654;35582;35733;35056;29084;27794;29444;26741;35022;29096;31985;36494;38559;27729;33539;34490;33453;26630;27175;35914;27664;25640;24966;32721;31684;32814;37363;34414;23782;38457;30726;42564;41829;31630;33184;37863;31585;37265;33507;45636;44245;47054;36146;36901;45639;40460;35783;40455;21366;21071;28097;33090;23319;44740;44957;38779;40191;47318;43094;45218;45437;40273;46315;38560;21250;39474;45364;44490;43532;22883;0;37695;42236;16202;41344;45550;18347;30609;24021;17402;13648;40422;21941;38636;5892;40900;42981;40243;31142;35562;21262;36106;38490;32112;33311;22324;8336;35104;30286;17169;12624;44230;32258;47290;32429;34608;34904;33992;36174;15640
Alto da Boa Vista;45332;35190;32647;31773;31851;29737;31403;32531;32880;33891;31062;30696;30266;30534;35465;30726;33160;29035;32710;26287;35832;29704;32791;31940;26602;25024;33260;34388;31862;31920;37766;30790;27069;35842;26762;29928;23054;24968;22904;35793;22861;27906;22836;35464;25043;28850;26133;62329;21959;21353;27206;38314;26976;26763;19424;19972;22598;50267;27309;26313;53525;33798;42566;23854;33249;19192;18456;26161;21747;19394;21110;24149;29326;17514;22392;32199;25685;23561;46361;56895;16626;17345;28169;16607;19202;14685;16046;55711;18558;16227;20067;15571;17351;18586;16520;17930;14788;15583;18589;14149;15389;15957;27179;29265;28166;18181;17890;14793;15642;12823;12799;22144;14914;15398;14494;9912;15573;14738;24442;11676;18993;21590;18345;46964;35788;0;10601;25186;20320;23253;22921;54690;15058;26011;27810;20015;16456;20956;31236;21913;23409;19555;8381;15536;17071;16080;18464;12085;13285;46406;28487;15078;12420;41250;36064;18986;33195;16726;56630;44068;44363;41536;45634;39721
Cosme Velho;41332;31190;28647;27773;27851;25737;27403;29053;28880;30413;27062;34367;26788;26533;31988;33227;29160;25557;28710;28525;39404;31598;28791;35612;27129;24753;29260;30388;35440;35493;41338;34368;29392;39414;29000;32166;22783;27207;18849;39365;18861;30144;22542;39674;27281;33059;28371;65901;24198;22212;29444;42523;31186;30972;19413;21902;24836;53839;31518;30522;60184;41378;51186;26092;37458;19860;18349;28083;23669;21989;22400;29063;33535;19048;23682;39528;29894;25483;56390;66050;18160;18783;32378;16499;20492;13901;14669;65302;19848;16881;21357;15779;18641;9562;7557;7415;16226;15792;9564;14358;17764;14867;34507;36593;34229;19471;31293;6397;8174;15180;12718;9083;8640;4524;7593;15949;6267;17915;31928;16579;4400;4627;1878;53623;42447;10686;0;31845;6125;7918;29580;61349;26389;37519;34469;5204;28669;6144;37895;7102;8074;4744;19712;7650;23730;7532;8417;10989;11192;53065;35146;10667;14359;47909;42723;15508;36768;6851;60202;47640;47936;50156;49206;46380
Curicica;46741;36598;34056;33182;33260;31146;32812;26801;34289;25294;32471;21699;26076;31942;24681;23002;34569;20162;34119;15935;18332;21980;34200;20107;18979;23533;34669;35796;19302;19507;18460;18374;17237;16536;16231;19600;21563;16615;21902;13493;23817;15930;21346;12752;16300;14754;15480;37701;20149;19863;13222;15602;12387;13224;20234;18162;18313;25639;13770;12481;42962;11573;19854;13783;16817;19074;21139;12416;16119;17070;16033;11316;12007;18494;12351;10326;9652;15301;23649;37850;19943;16994;8469;21037;13306;25144;24409;37102;15764;20443;14165;19845;16087;28216;26825;29634;18726;19481;28219;23040;18363;23035;6053;5904;10677;15670;8006;27320;27537;21359;22771;36193;29294;30247;28017;22853;28895;21140;5936;22054;32232;36369;31638;32083;16210;27333;31875;0;33613;36546;3995;39809;10510;1553;6194;34380;6414;28274;11036;30539;32620;33920;20781;25201;8859;25745;28129;21750;22950;31525;13606;24743;19925;26369;21183;26810;17090;29870;32002;19440;19736;18825;21006;24840
Botafogo;38492;28350;25807;24933;25011;22897;24563;26213;26040;27573;24222;31527;23948;23693;29148;30387;26320;22717;25870;25685;36564;28758;25951;32772;24289;21913;26420;27548;32600;32653;38498;31528;26552;36574;26160;29326;19943;24367;16009;36525;16021;27304;19702;36834;24441;30219;25531;63061;21358;19372;26604;39683;28346;28132;16573;19062;21996;50999;28678;27682;58702;38538;48346;23252;34618;17020;15509;25243;20829;19149;19560;26223;30695;16208;20842;36688;27054;22643;53550;63210;15320;15943;29538;13659;17652;11061;11829;62462;17008;14041;18517;12939;15801;12269;10202;8743;13386;12952;12271;11518;14924;12027;31667;33753;31389;16631;28453;8638;9324;12340;9878;7647;5800;7925;8168;13109;7595;15075;29088;13739;5693;4819;6238;52140;40964;20681;4942;30362;0;5507;28098;59867;32826;34679;32986;1570;27186;4661;36413;3119;5265;3337;18229;6167;22248;6050;6934;9507;9709;51582;33663;9184;12876;46427;41240;12668;33928;7818;57362;44800;45096;47316;46366;44898
Urca;39707;29565;27022;26148;26226;24112;25778;26906;27255;28266;25437;32220;24641;24908;29840;31080;27535;23410;27085;26378;37257;29450;27166;33464;24982;22606;27635;28763;33293;33346;39191;32221;27245;37267;26853;30019;20636;25060;17279;37218;17236;27997;20395;37526;25134;30912;26224;63754;22051;20065;27297;40376;29038;28825;17266;19755;22689;51692;29371;28375;69014;39230;49038;23945;35311;17713;16830;25936;21522;19842;24507;26916;31388;17752;25653;37381;27747;23336;54243;63903;16864;17486;30231;14981;24529;11556;12916;63155;18551;15584;23928;14483;17345;11106;9101;8959;14929;14495;11108;13061;16467;13570;32360;34446;32082;18174;29146;7941;9719;13884;11422;6824;8977;7420;9137;13404;7811;16618;29781;15283;6062;5200;5154;55317;44141;21990;6548;36385;3802;0;32519;63043;33519;35372;36163;5152;33567;7838;39589;5308;5227;6513;21406;9344;25424;11197;9158;12683;12886;54759;36840;13096;16053;49603;44417;13361;34621;8395;58055;45493;45789;48009;47059;48074
Cidade de Deus;44015;33873;31331;30456;30535;28420;30087;25571;31564;27426;29745;19386;23858;29217;21464;19416;31843;22346;31394;15155;19688;18394;31474;19025;22387;20808;31943;33071;18223;18425;18999;17292;16458;17075;15452;15520;18838;15835;19176;16178;21092;15150;18620;15826;15520;13974;14700;40386;17424;17138;12442;18676;11608;12445;17508;15437;15587;28324;12991;11701;43776;14258;22928;16843;16146;16349;18413;11636;13394;14344;13307;10537;10197;15769;14641;9547;8873;12576;26723;40535;17217;14269;7689;18312;10581;22419;21684;39787;13038;17718;11439;17119;13362;25491;24100;26908;16001;16756;25493;20315;15638;20310;5273;6111;7952;12944;4402;24595;24811;18634;20046;33468;26568;27521;25291;20128;26169;18415;2839;19328;29506;33643;28913;37215;18544;25609;30151;4083;30887;33821;0;44941;4997;3038;8528;31654;2918;26550;13370;28814;30895;31195;12173;23476;7134;24021;26405;20026;21225;36656;18738;23019;18200;31501;26315;24084;16112;27145;34687;22125;22421;21899;23691;29972
Sepetiba;82274;72132;69589;68715;68793;66679;68345;53316;69822;51809;68004;48214;52592;67475;51196;49517;70102;54045;69652;49209;44848;48495;69733;46622;53494;55290;70202;71330;45817;46022;44975;44889;50338;43051;48722;46116;56870;51610;63008;40009;62057;48196;59701;38832;52124;45558;51304;15555;54003;59164;51397;31464;45200;48399;60754;55883;52621;28455;49291;46559;8140;40280;29586;53877;47185;58140;62092;51688;54446;56490;53993;49874;45378;57915;50909;46139;49021;54039;22476;13258;59364;57489;48576;60458;52164;66085;65350;13983;56638;59864;55076;60719;57948;69157;67766;70574;60690;61446;69159;65733;59237;65728;44710;44363;49535;54528;47376;68261;68477;62982;67590;65800;61576;63700;68957;64476;69835;64988;45812;63677;63845;62972;62013;12569;31299;56176;60718;39357;59825;64031;41502;0;45459;40609;37152;58903;43379;57117;32796;59381;61462;58724;49623;54043;39744;54588;56972;50593;51792;8654;26823;53586;48767;25274;29110;67751;43606;70811;21727;31191;34294;27025;30949;19082
Anil;44389;34247;31705;30831;30909;28794;30461;25945;31938;27800;30119;22617;24232;29591;23616;22648;32217;22720;31768;18387;22920;21626;31849;22257;22761;21182;32317;33445;21455;21657;22231;20524;21382;20306;18684;18752;19212;19281;19550;20542;21466;18382;18995;19805;19355;17206;17932;44750;17798;17512;15674;22654;14839;15676;17882;15811;15961;32688;16222;14933;46551;18622;26906;17218;19378;16723;18788;14868;13768;14718;13681;13768;13429;16143;15015;13525;12104;12950;30701;44899;17592;14643;10921;18686;10955;22793;22058;44151;13413;18092;11814;17494;13736;25865;24474;27282;16375;17130;25868;20689;16012;20684;8505;10591;8326;13319;4345;24969;25185;19008;20420;33842;26943;27895;25665;20502;26543;15762;5768;15607;29880;34018;29287;39990;23653;15617;27038;9304;31262;34195;5170;47716;0;8260;14362;32029;2911;23438;18479;25702;27783;31569;7712;20364;9909;20909;23293;16914;18113;39432;21513;19906;12279;34276;29090;24459;19344;27519;39051;26489;26784;25877;28055;32747
Jacarepaguá;45567;35424;32882;32008;32086;29972;31638;20663;33115;25051;31297;21457;18950;30768;24438;19022;33394;18988;32945;14761;18090;18000;33026;19864;17805;22359;33495;34622;19059;19264;18217;18132;16063;16293;15057;15125;20389;15441;20728;13251;22643;14756;20172;12510;15126;13580;14306;37459;18975;18689;12048;15359;11213;12050;19060;16988;17139;25397;12596;11307;42719;11331;19611;12609;15752;17900;19965;11242;14945;15896;14859;10142;9803;17320;11177;9152;8478;14127;23406;37608;18769;15820;7295;19863;12132;23970;23235;36860;14590;19269;12991;18671;14913;27042;25651;28460;17552;18307;27045;21866;17189;21861;4879;4100;9503;14496;6832;26146;26363;20185;21597;35019;28120;29073;26843;21679;27721;19966;4762;20880;31058;35195;30464;33550;17145;28440;31858;1532;32439;35372;4628;41276;9336;0;7129;33206;7060;34146;11971;35104;35528;32746;16512;26308;9966;26852;29236;22857;24057;32991;15073;25850;21032;27836;22650;25636;16848;28696;31760;19198;19493;18582;20764;26307
Camorim;54939;44797;42254;41380;41458;39344;41010;32747;42487;31240;40669;27646;32023;40140;30627;28948;42767;26253;42317;22026;24279;27926;42398;26053;25071;31732;42867;43995;25248;25453;24406;24320;23329;22482;22323;25546;29762;22706;30100;19440;32015;22022;29544;18698;22392;22665;21571;43648;28348;28061;19313;21548;20298;19316;28432;26360;26511;31585;19862;18572;37026;17520;25800;19874;22763;27273;29337;18508;24318;25268;24231;17408;17953;26692;18442;16418;15744;23500;29595;40396;28141;25192;14560;29235;21505;33342;32608;39212;23962;28641;22363;28043;24285;36414;35024;37832;26924;27680;36417;31239;26561;31233;12144;11850;18876;23868;14097;35518;35735;29557;30970;44392;37492;38445;36215;31051;37093;29339;12028;30252;40430;44567;39837;30464;13382;31087;35628;6980;34735;38942;9126;38191;14799;8180;0;33814;12720;32028;8208;34292;36373;33635;24534;28954;12612;29498;31882;25504;26703;29906;11987;28496;23678;24751;19564;35008;23037;38068;37948;25386;25682;24771;26952;23222
Humaitá;37612;27469;24927;24053;24131;22016;23683;25332;25160;26693;23342;30647;23068;22813;28267;29506;25439;21837;24990;24805;35684;27878;25071;31891;23409;21033;25540;26667;31720;31772;37618;30648;25672;35694;25280;28446;19063;23487;15129;35645;15140;26424;18822;35953;23561;29339;24651;62181;20478;18492;25724;38803;27465;27252;15693;18182;21116;50119;27798;26802;57821;37657;47465;22372;33738;16140;14629;24363;19949;18269;18680;25343;29815;15328;19962;35808;26174;21762;52670;62330;14440;15063;28658;12779;16772;10181;10949;61582;16127;13161;17637;12059;14921;11388;9322;10898;12506;12072;11391;10637;14043;11147;30787;32873;30509;15750;27573;7758;8444;11460;8998;9329;4920;7044;7288;12229;8367;14195;28208;12859;7374;6501;5358;51260;40084;19801;4062;29482;3354;7189;27218;58986;31946;33799;32106;0;26306;3781;35532;4330;6476;2456;17349;5287;21368;5169;6054;8627;8829;50702;32783;8304;11996;45546;40360;11788;33048;9519;56482;43920;44216;46436;45486;44017
Gardênia Azul;43858;33716;31174;30300;30378;28263;29930;25414;31407;27269;29588;24477;23701;29060;23085;24508;31686;22189;31237;20068;21223;23486;31318;20560;22230;20651;31786;32914;19758;19960;20534;18827;20850;18610;20544;17055;18681;18750;19019;17975;20935;16686;18464;18108;18824;15509;16235;42183;17267;16981;13977;20957;13143;13980;17351;15280;15430;30121;14526;13236;43684;16055;25210;16686;17682;16192;18256;15640;13237;14187;13150;12072;11732;15612;14484;11828;10408;12419;29004;42332;17060;14112;9224;18155;10424;22262;21527;41584;12882;17561;11282;16962;13204;25334;23943;26751;15844;16599;25336;20158;15481;20153;6808;7907;7795;12788;4906;24438;24654;18476;19889;33311;26412;27364;25134;19971;26012;18258;4072;19171;29349;33486;28756;37123;20786;17361;30150;6437;30730;33664;2303;44849;2279;5393;11495;31498;0;26458;15612;28722;33820;31038;9455;23384;7042;23928;26312;19934;21133;36564;18646;22926;18108;31409;26223;23928;17647;26988;36484;23921;24217;24180;25487;29880
Jardim Botânico;39434;29291;26749;25875;25953;23838;25505;27154;26982;28515;25164;32469;24889;24635;30089;31328;27261;23659;26812;26627;37506;29699;26893;33713;25230;22855;27362;28489;33542;33594;39440;32470;27494;37516;27102;30268;20885;25309;16951;37467;16962;28246;20644;37775;25383;31161;26473;64003;22300;20314;27546;40625;29287;29074;17515;20004;22938;51941;29620;28624;55522;39479;49287;24194;35560;17962;16451;26185;21771;20090;20502;27165;31637;17150;21784;37630;27996;23584;54492;64152;16262;16885;30480;14601;18593;12003;12771;63404;17949;14983;19459;13881;16743;13210;11144;12720;14328;13894;13213;12459;15865;12969;32609;34695;32331;17572;29395;9580;10266;13282;10820;10966;6742;8866;9110;14051;10189;16017;30030;14681;9012;8138;7180;48960;37784;16663;5884;27182;4991;8826;24918;56687;21726;28008;29806;4070;24006;0;33233;6642;8723;3682;15050;2506;19068;2966;4232;6327;6529;48402;30483;5530;9697;43247;38060;13610;34870;11341;58304;45742;46038;48258;47308;41718
